date_sold,suburb,price,hedonic_price,hedonic_residual,hedonic_residual_pct,investment_score
2012-03-15,NORTHBRIDGE,1400000.0,1929772.7272727273,-529772.7272727273,-27.45259686727123,100
2006-11-23,CASTLECRAG,715000.0,1430000.0,-715000.0,-50.0,100
2006-12-06,ROSEVILLE,880000.0,1357500.0,-477500.0,-35.17495395948435,100
2013-10-12,WILLOUGHBY,1780000.0,2098480.3921568627,-318480.39215686265,-15.176715176715172,100
2006-12-04,NORTHBRIDGE,545000.0,1070091.3242009133,-525091.3242009133,-49.06976744186047,100
2006-11-30,CASTLE COVE,200000.0,236515.91289782245,-36515.91289782245,-15.439093484419264,100
2006-11-29,ROSEVILLE,845000.0,1358701.724137931,-513701.7241379309,-37.80827793266137,100
2017-05-03,ROSEVILLE,975000.0,1950000.0,-975000.0,-50.0,100
2006-11-28,ROSEVILLE,325000.0,559236.5506329114,-234236.55063291139,-41.88505747126437,100
2009-11-12,NORTHBRIDGE,570000.0,832662.1621621622,-262662.16216216225,-31.544865864939876,100
2017-05-05,CASTLE COVE,3000000.0,3708365.0190114067,-708365.0190114067,-19.101814826207317,100
2006-11-24,WILLOUGHBY,340000.0,425000.0,-85000.0,-20.0,100
2017-05-10,ROSEVILLE,1015000.0,1389245.810055866,-374245.8100558659,-26.93877551020408,100
2006-11-24,WILLOUGHBY,1100000.0,1299109.7922848666,-199109.79228486656,-15.32663316582915,100
2006-11-24,NORTHBRIDGE,530000.0,809454.5454545454,-279454.5454545454,-34.52380952380952,100
2017-05-11,NORTH WILLOUGHBY,860000.0,1171101.8711018711,-311101.87110187113,-26.56488549618321,100
2017-04-29,ROSEVILLE CHASE,1725000.0,2192630.3317535543,-467630.3317535543,-21.32736763609246,100
2009-11-18,WILLOUGHBY,212500.0,274043.71584699454,-61543.71584699454,-22.45762711864407,100
2009-11-19,NORTH WILLOUGHBY,545000.0,968092.1052631579,-423092.10526315786,-43.7037037037037,100
2006-11-22,NORTHBRIDGE,1260000.0,1643795.5,-383795.5,-23.348129374973954,100
2006-11-22,ROSEVILLE,1550000.0,2293665.76819407,-743665.7681940701,-32.42258652094718,100
2006-11-22,ROSEVILLE,767000.0,1225000.0,-458000.0,-37.38775510204081,100
2006-11-21,NORTH WILLOUGHBY,980000.0,1186518.32460733,-206518.3246073299,-17.40540540540541,100
2006-11-20,WILLOUGHBY,436000.0,613842.105263158,-177842.10526315798,-28.971962616822438,100
2009-11-20,NORTHBRIDGE,2365000.0,3461707.2552004056,-1096707.2552004056,-31.681109185441937,100
2017-05-18,ROSEVILLE,3200000.0,4517647.05882353,-1317647.0588235296,-29.166666666666668,100
2017-05-18,ROSEVILLE,3200000.0,4549873.05041712,-1349873.0504171196,-29.66836734693877,100
2017-05-18,ROSEVILLE,3200000.0,4608359.676852828,-1408359.676852828,-30.560975609756103,100
2009-11-20,NORTHBRIDGE,1200000.0,1675471.6981132075,-475471.6981132075,-28.37837837837838,100
2006-11-14,WILLOUGHBY,440000.0,552183.2061068702,-112183.2061068702,-20.316301703163013,100
2009-11-11,CASTLE COVE,730000.0,1124157.844080847,-394157.844080847,-35.0625,100
2017-04-20,NORTHBRIDGE,420000.0,749205.8823529412,-329205.8823529412,-43.9406430338005,100
2007-01-17,NORTHBRIDGE,912000.0,1282011.4285714284,-370011.4285714284,-28.86178861788617,100
2017-03-29,NORTHBRIDGE,975000.0,1526644.7368421054,-551644.7368421054,-36.13445378151261,100
2009-11-06,ROSEVILLE,1300000.0,1658276.4505119454,-358276.4505119454,-21.60535117056856,100
2007-01-10,WILLOUGHBY,319000.0,400332.8244274809,-81332.82442748093,-20.31630170316302,100
2017-03-24,NORTHBRIDGE,1680000.0,2326153.846153846,-646153.846153846,-27.777777777777775,100
2007-01-03,ROSEVILLE,792000.0,999317.6470588235,-207317.6470588235,-20.745920745920742,100
2006-12-29,WILLOUGHBY,320000.0,640000.0,-320000.0,-50.0,100
2006-12-22,NORTHBRIDGE,900000.0,1337823.5294117648,-437823.5294117648,-32.72655322516819,100
2017-03-27,ROSEVILLE,46000.0,92000.0,-46000.0,-50.0,100
2013-10-15,NORTHBRIDGE,2375000.0,3111111.1111111115,-736111.1111111115,-23.660714285714292,100
2017-03-28,ROSEVILLE,10000.0,12740.74074074074,-2740.740740740741,-21.511627906976745,100
2006-12-21,CASTLE COVE,105000.0,130263.15789473684,-25263.15789473684,-19.39393939393939,100
2006-12-21,ROSEVILLE,1337500.0,1594953.0516431925,-257453.05164319254,-16.14173228346457,100
2017-03-28,ROSEVILLE,10000.0,13170.37037037037,-3170.3703703703704,-24.07199100112486,100
2006-12-20,ROSEVILLE,1300000.0,1586465.3243847876,-286465.3243847876,-18.05682859761687,100
2017-03-29,NORTHBRIDGE,975000.0,1560000.0,-585000.0,-37.5,100
2009-11-11,MIDDLE COVE,935000.0,1233802.3764853033,-298802.3764853033,-24.218009478672982,100
2017-03-31,NORTHBRIDGE,720000.0,976916.2995594713,-256916.2995594713,-26.298701298701292,100
2017-04-01,ROSEVILLE,3805000.0,4661125.0,-856125.0,-18.367346938775512,100
2017-04-01,CASTLE COVE,2300000.0,2872097.0873786407,-572097.0873786407,-19.919141657596015,100
2006-12-14,WILLOUGHBY EAST,618000.0,856643.0769230769,-238643.07692307688,-27.857935627081016,100
2006-12-13,WILLOUGHBY,472500.0,616997.487437186,-144497.48743718595,-23.419461242440903,100
2006-12-12,WILLOUGHBY,361500.0,723000.0,-361500.0,-50.0,100
2006-12-12,ROSEVILLE,395000.0,743562.7240143369,-348562.72401433694,-46.87738004569688,100
2017-04-08,CASTLECRAG,2600000.0,3371612.903225806,-771612.9032258061,-22.885572139303473,100
2013-10-14,ROSEVILLE,685000.0,876298.7804878049,-191298.7804878049,-21.830314585319353,100
2017-04-08,NORTHBRIDGE,1855000.0,3514268.5851318943,-1659268.5851318943,-47.21518987341772,100
2017-04-10,NORTHBRIDGE,430000.0,772725.925925926,-342725.92592592596,-44.35284418796373,100
2006-12-07,CASTLE COVE,667500.0,1335000.0,-667500.0,-50.0,100
2017-04-11,NORTHBRIDGE,2000000.0,2822500.0,-822500.0,-29.14083259521701,100
2009-11-24,WILLOUGHBY EAST,1870000.0,2447362.5,-577362.5,-23.591212989493794,100
2006-11-14,ROSEVILLE,781000.0,1315053.9145907473,-534053.9145907473,-40.61079995773011,100
2017-05-18,ROSEVILLE,3200000.0,4398154.251812789,-1198154.2518127887,-27.242206235011995,100
2013-09-30,ROSEVILLE,2500000.0,2947867.298578199,-447867.298578199,-15.192926045016076,100
2009-12-11,WILLOUGHBY,730000.0,1164706.7669172934,-434706.7669172934,-37.32327992459945,100
2017-06-26,ROSEVILLE,9120000.0,12460154.273372415,-3340154.2733724155,-26.806684733513997,100
2006-10-09,ROSEVILLE,950000.0,1187500.0,-237500.0,-20.0,100
2009-12-14,ROSEVILLE CHASE,1180588.0,1428546.826946108,-247958.8269461079,-17.357416800692818,100
2006-10-05,CASTLE COVE,725000.0,1450000.0,-725000.0,-50.0,100
2009-12-14,NORTHBRIDGE,660000.0,1320000.0,-660000.0,-50.0,100
2017-07-03,NORTHBRIDGE,2090000.0,3093531.746031746,-1003531.7460317458,-32.4396782841823,100
2006-09-29,CASTLECRAG,1250000.0,1550063.3140376266,-300063.3140376266,-19.35813274981765,100
2006-09-29,CASTLE COVE,400000.0,472313.2530120482,-72313.2530120482,-15.310443344727313,100
2017-07-05,NORTH WILLOUGHBY,717000.0,924815.7370517928,-207815.7370517928,-22.47104247104247,100
2009-12-16,NORTHBRIDGE,350000.0,501018.2079540009,-151018.2079540009,-30.142259414225936,100
2017-07-06,NORTH WILLOUGHBY,700000.0,894372.0930232558,-194372.09302325582,-21.732799417546413,100
2006-09-28,ROSEVILLE,1530000.0,2494423.076923077,-964423.076923077,-38.66317169069463,100
2009-12-17,WILLOUGHBY,153000.0,306000.0,-153000.0,-50.0,100
2006-11-11,ROSEVILLE,645000.0,1043990.3846153846,-398990.3846153846,-38.21782178217822,100
2017-07-13,ROSEVILLE,1510000.0,2015761.2300271331,-505761.23002713313,-25.090334236675705,100
2017-07-13,ROSEVILLE,40000.0,53397.64847753995,-13397.648477539951,-25.09033423667571,100
2006-09-22,WILLOUGHBY,470000.0,689097.7443609022,-219097.74436090223,-31.794871794871792,100
2013-09-26,NORTHBRIDGE,250000.0,447592.59259259264,-197592.59259259264,-44.14563508481589,100
2017-07-13,ROSEVILLE,40000.0,51465.59703795125,-11465.597037951251,-22.278177458033575,100
2006-09-21,NORTHBRIDGE,1400000.0,1843750.0,-443750.0,-24.06779661016949,100
2006-09-20,NORTH WILLOUGHBY,1410000.0,1831397.7272727273,-421397.7272727273,-23.009623797025373,100
2006-09-19,NORTHBRIDGE,499500.0,940000.0,-440500.0,-46.861702127659576,100
2006-09-18,CASTLE COVE,1177500.0,1668685.714285714,-491185.7142857141,-29.435483870967733,100
2006-09-15,WILLOUGHBY,525000.0,694034.0909090908,-169034.09090909082,-24.355300859598845,100
2006-09-15,NORTHBRIDGE,925000.0,1596842.105263158,-671842.105263158,-42.07317073170732,100
2006-09-14,ROSEVILLE,194000.0,388000.0,-194000.0,-50.0,100
2006-09-13,ROSEVILLE,1200000.0,2400000.0,-1200000.0,-50.0,100
2006-10-11,CASTLECRAG,970000.0,1223214.2857142857,-253214.28571428568,-20.7007299270073,100
2006-10-12,NORTHBRIDGE,1300000.0,1685185.1851851852,-385185.18518518517,-22.857142857142858,100
2009-12-08,NORTH WILLOUGHBY,1100000.0,1574013.1578947369,-474013.15789473685,-30.114942528735632,100
2013-09-30,NORTH WILLOUGHBY,1185000.0,1746889.8456057007,-561889.8456057007,-32.16515609264854,100
2009-11-25,ROSEVILLE,1295000.0,1672847.0437017996,-377847.0437017996,-22.58706467661692,100
2017-05-24,CASTLECRAG,3215000.0,3981519.073569482,-766519.0735694822,-19.251925192519252,100
2017-05-25,CHATSWOOD,900000.0,1230769.2307692308,-330769.23076923075,-26.875,100
2006-11-09,WILLOUGHBY,129000.0,258000.0,-129000.0,-50.0,100
2006-11-08,CASTLE COVE,720000.0,1396275.6413793103,-676275.6413793103,-48.43425046871488,100
2009-11-26,NORTHBRIDGE,1510000.0,2044198.113207547,-534198.113207547,-26.132404181184665,100
2017-05-30,NORTH WILLOUGHBY,1900000.0,2763411.458333333,-863411.458333333,-31.24440465532676,100
2006-11-03,NORTHBRIDGE,540000.0,1080000.0,-540000.0,-50.0,100
2009-11-28,WILLOUGHBY,862000.0,1083201.0582010583,-221201.0582010583,-20.421052631578952,100
2013-09-30,NORTH WILLOUGHBY,982500.0,1168868.2592242195,-186368.25922421948,-15.944333996023857,100
2006-11-02,WILLOUGHBY,1325000.0,1695286.1952861953,-370286.19528619526,-21.842105263157894,100
2017-06-14,ROSEVILLE,905000.0,1219068.92382104,-314068.92382103996,-25.76301615798923,100
2006-10-31,NORTHBRIDGE,967500.0,1357871.983914209,-390371.98391420906,-28.748806112702958,100
2006-10-30,WILLOUGHBY,940000.0,1171172.638436482,-231172.63843648206,-19.73856209150327,100
2009-12-03,WILLOUGHBY,1396000.0,1690531.7919075144,-294531.79190751445,-17.42243436754177,100
2006-10-27,NORTHBRIDGE,1400000.0,1705797.1014492754,-305797.1014492754,-17.92693288020391,100
2017-06-16,WILLOUGHBY,705000.0,912040.6626506024,-207040.6626506024,-22.700814901047732,100
2017-06-16,WILLOUGHBY,2200000.0,2602314.814814815,-402314.81481481483,-15.459882583170256,100
2006-10-25,CASTLE COVE,610000.0,1220000.0,-610000.0,-50.0,100
2017-06-17,WILLOUGHBY,1910000.0,2322858.201581028,-412858.2015810278,-17.77371521430023,100
2009-12-08,ROSEVILLE,1100000.0,1800266.6248431618,-700266.6248431618,-38.89793962625778,100
2006-10-24,ROSEVILLE,860000.0,1114090.9090909092,-254090.90909090918,-22.807017543859658,100
2017-06-17,NORTH WILLOUGHBY,2540000.0,3450970.464135021,-910970.464135021,-26.39751552795031,100
2006-10-23,NORTHBRIDGE,768000.0,1147826.0869565217,-379826.0869565217,-33.09090909090909,100
2006-10-21,WILLOUGHBY EAST,1325000.0,1627288.2513661203,-302288.2513661203,-18.576195773081206,100
2017-06-22,WILLOUGHBY,890000.0,1135410.891089109,-245410.891089109,-21.61428017074118,100
2017-06-24,ROSEVILLE,2450000.0,2890449.438202247,-440449.438202247,-15.238095238095234,100
2013-10-17,ROSEVILLE,825000.0,1091281.185031185,-266281.1850311849,-24.40078585461689,100
2013-10-17,NORTH WILLOUGHBY,1008000.0,1333324.4147157192,-325324.4147157192,-24.399494310998744,100
2010-06-18,MIDDLE COVE,1105000.0,1350210.6741573033,-245210.6741573033,-18.16091954022988,100
2007-03-23,ROSEVILLE,460000.0,814583.3333333334,-354583.3333333334,-43.529411764705884,100
2009-10-08,CASTLECRAG,2750000.0,3504424.778761062,-754424.7787610618,-21.527777777777775,100
2009-10-08,WILLOUGHBY,502000.0,651890.4593639576,-149890.45936395763,-22.99319727891157,100
2013-11-19,WILLOUGHBY,300000.0,353676.4705882353,-53676.4705882353,-15.176715176715177,100
2016-11-08,ROSEVILLE,950000.0,1545762.7118644067,-595762.7118644067,-38.541666666666664,100
2016-11-09,NORTHBRIDGE,1851000.0,2521958.174904943,-670958.174904943,-26.6046511627907,100
2016-11-10,NORTHBRIDGE,1000000.0,1235245.9016393444,-235245.9016393444,-19.044459190444602,100
2007-03-27,CASTLE COVE,970000.0,1421456.9160997733,-451456.91609977325,-31.760154738878143,100
2009-10-10,MIDDLE COVE,1051000.0,1520446.6666666667,-469446.66666666674,-30.875576036866363,100
2013-11-18,ROSEVILLE,835000.0,1103392.857142857,-268392.85714285704,-24.324324324324316,100
2007-03-27,CASTLE COVE,985000.0,1304081.1657032755,-319081.1657032755,-24.467891577223938,100
2007-03-26,ROSEVILLE,820000.0,1259285.714285714,-439285.7142857141,-34.88372093023255,100
2013-11-14,ROSEVILLE,450000.0,665791.2687585265,-215791.26875852654,-32.411249423697555,100
2016-11-14,WILLOUGHBY,1150000.0,1356878.306878307,-206878.3068783069,-15.246636771300452,100
2016-11-18,NORTH WILLOUGHBY,3550000.0,4349628.712871287,-799628.712871287,-18.383838383838384,100
2007-03-31,ROSEVILLE,1200000.0,1539943.8202247191,-339943.8202247191,-22.075079347707128,100
2007-03-22,ROSEVILLE,685000.0,1068366.4772727273,-383366.4772727273,-35.88342440801458,100
2016-11-18,CASTLE COVE,2200000.0,2732976.1904761908,-532976.1904761908,-19.501677048394832,100
2007-03-21,NORTHBRIDGE,1100000.0,1600529.1005291005,-500529.1005291005,-31.272727272727273,100
2007-03-21,NORTHBRIDGE,2100000.0,3168421.0526315793,-1068421.0526315793,-33.720930232558146,100
2007-03-21,NORTH WILLOUGHBY,950000.0,1281909.1400757164,-331909.1400757164,-25.891783567134258,100
2013-11-11,WILLOUGHBY EAST,1505000.0,1838138.0208333333,-333138.02083333326,-18.123667377398718,100
2007-03-17,ROSEVILLE,1000000.0,1360691.1447084232,-360691.1447084232,-26.507936507936503,100
2007-03-16,NORTHBRIDGE,950000.0,1574943.2248296745,-624943.2248296745,-39.68036529680366,100
2016-11-21,WILLOUGHBY,1150000.0,2300000.0,-1150000.0,-50.0,100
2009-10-13,NORTHBRIDGE,575000.0,1150000.0,-575000.0,-50.0,100
2013-11-11,CHATSWOOD,711000.0,969545.4545454546,-258545.4545454546,-26.66666666666667,100
2007-03-15,ROSEVILLE,450000.0,900000.0,-450000.0,-50.0,100
2009-10-15,ROSEVILLE,833170.0,1111761.21875,-278591.21875,-25.05854800936768,100
2007-03-30,WILLOUGHBY,775000.0,1153750.0,-378750.0,-32.82773564463705,100
2007-03-31,CASTLECRAG,2900000.0,3738248.1751824818,-838248.1751824818,-22.42355605889015,100
2017-03-18,CASTLE COVE,1715000.0,2386942.62295082,-671942.6229508198,-28.150765606596,100
2007-04-17,WILLOUGHBY,475000.0,950000.0,-475000.0,-50.0,100
2016-09-17,ROSEVILLE,1980000.0,2396031.1284046695,-416031.12840466946,-17.36334405144695,100
2007-04-27,ROSEVILLE,345000.0,413092.10526315786,-68092.10526315786,-16.48351648351648,100
2007-04-27,NORTHBRIDGE,391000.0,605286.7867867867,-214286.78678678675,-35.402521823472355,100
2016-09-22,NORTHBRIDGE,4300000.0,8600000.0,-4300000.0,-50.0,100
2007-04-21,CASTLE COVE,980000.0,1788500.0,-808500.0,-45.20547945205479,100
2013-11-25,ROSEVILLE,595000.0,1190000.0,-595000.0,-50.0,100
2016-09-28,MIDDLE COVE,1765000.0,2159057.4866310162,-394057.48663101625,-18.251366120218588,100
2007-04-19,NORTH WILLOUGHBY,375000.0,750000.0,-375000.0,-50.0,100
2007-04-19,WILLOUGHBY,1070000.0,1427130.2715193531,-357130.27151935315,-25.024363833243108,100
2007-04-19,NORTHBRIDGE,505000.0,774216.0278745645,-269216.0278745645,-34.77272727272728,100
2007-04-19,ROSEVILLE,482000.0,964000.0,-482000.0,-50.0,100
2016-09-30,NORTH WILLOUGHBY,1800000.0,2155688.622754491,-355688.62275449093,-16.499999999999996,100
2007-04-18,ROSEVILLE,320000.0,524050.63291139243,-204050.63291139243,-38.937198067632856,100
2007-04-16,WILLOUGHBY,420000.0,545406.3604240284,-125406.36042402836,-22.993197278911577,100
2016-10-28,WILLOUGHBY,2900000.0,3669375.0,-769375.0,-20.967467211718617,100
2007-04-13,CASTLE COVE,820000.0,1640000.0,-820000.0,-50.0,100
2016-10-08,ROSEVILLE,835000.0,1201165.9600242279,-366165.96002422785,-30.484210526315795,100
2016-10-10,CASTLE COVE,1850000.0,2828085.3224987304,-978085.3224987304,-34.584717607973424,100
2016-10-27,WILLOUGHBY,2981000.0,3764416.4420485175,-783416.4420485175,-20.8110992529349,100
2009-09-30,WILLOUGHBY,1050000.0,1244867.6470588234,-194867.64705882338,-15.6536839493922,100
2016-10-27,WILLOUGHBY,2981000.0,3584843.58974359,-603843.58974359,-16.84434968017058,100
2009-09-30,WILLOUGHBY,252000.0,504000.0,-252000.0,-50.0,100
2007-04-05,WILLOUGHBY,530000.0,700706.6761363636,-170706.67613636365,-24.362073596561913,100
2007-04-05,NORTHBRIDGE,525000.0,913866.2790697674,-388866.27906976745,-42.55177020708083,100
2009-10-02,NORTH WILLOUGHBY,975000.0,1401757.1884984025,-426757.1884984025,-30.44444444444444,100
2013-11-21,NORTH WILLOUGHBY,1280000.0,1573000.0,-293000.0,-18.62682771773681,100
2012-03-16,CASTLE COVE,1291588.0,2583176.0,-1291588.0,-50.0,100
2007-04-02,CASTLECRAG,2760000.0,4880805.095541402,-2120805.0955414018,-43.45195216827547,100
2009-10-15,ROSEVILLE CHASE,849000.0,1033120.4819277109,-184120.48192771093,-17.82178217821783,100
2007-03-12,NORTHBRIDGE,384800.0,499314.62925851706,-114514.62925851706,-22.93436293436294,100
2007-03-12,WILLOUGHBY,630000.0,760585.4430379746,-130585.44303797465,-17.16906946264744,100
2009-10-28,ROSEVILLE,418000.0,570730.7692307692,-152730.76923076925,-26.760563380281692,100
2013-10-27,NORTHBRIDGE,652000.0,861246.5116279069,-209246.51162790693,-24.29577464788732,100
2009-10-24,ROSEVILLE,1250000.0,2065510.1394169836,-815510.1394169836,-39.48226270373922,100
2007-02-09,MIDDLE COVE,1390000.0,2418600.0,-1028600.0,-42.5287356321839,100
2009-10-26,NORTH WILLOUGHBY,365000.0,439074.9039692701,-74074.90396927012,-16.870675891431603,100
2007-02-07,WILLOUGHBY,560000.0,1120000.0,-560000.0,-50.0,100
